num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name
192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,60.0,0.3125,132.0,0.6875,38.0,0.1979,154.0,0.8021,8.0,0.0417,8.0,0.0417,0.0,0.0,5.0,18.0,104.7,2.0,2.0,7.0,2.0,26.0,17.3,2.0,26.0,17.3,199.993,15.475,8.603,22.351999999999997,5.202000000000001,11.897,5.202000000000001,ham8
299.0,1417.0,0.21100000000000002,1212.0,0.8553,1.0,6.0,4.7391,1.0,6.0,4.7391,121.0,0.4047,178.0,0.5953,121.0,0.4047,178.0,0.5953,142.0,0.4749,157.0,0.5251,16.0,0.0535,14.0,0.0468,0.0,0.0,1.0,5.0,132.6667,2.0,2.0,5.0,2.0,26.0,18.8056,6.0,27.0,21.4074,57.972,41.775,199.995,17.06,199.993,1.069,1.069,ham9
168.0,586.0,0.2867,552.0,0.9420000000000001,2.0,4.0,3.4881,1.0,4.0,3.4881,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,58.0,0.3452,110.0,0.6548,14.0,0.0833,14.0,0.0833,0.0,0.0,2.0,8.0,102.6667,2.0,2.0,13.0,1.0,24.0,13.0714,1.0,24.0,14.3333,199.97400000000002,19.868,6.211,197.502,1.288,78.303,1.288,ham8
190.0,1017.0,0.1868,1008.0,0.9912,2.0,6.0,5.3526,2.0,6.0,5.3526,9.0,0.0474,181.0,0.9526,9.0,0.0474,181.0,0.9526,18.0,0.0947,172.0,0.9053,3.0,0.0158,3.0,0.0158,0.0,0.0,1.0,6.0,125.4,2.0,2.0,11.0,18.0,18.0,18.0,18.0,18.0,18.0,0.371,1.068,199.995,0.968,199.95,130.428,0.371,ham10
176.0,637.0,0.2763,626.0,0.9827,1.0,4.0,3.6193,2.0,4.0,3.6193,49.0,0.2784,127.0,0.7216,49.0,0.2784,127.0,0.7216,18.0,0.1023,158.0,0.8977,9.0,0.0511,9.0,0.0511,0.0,0.0,7.0,28.0,84.125,2.0,2.0,17.0,9.0,24.0,16.7895,9.0,24.0,16.7895,181.907,199.955,5.007,199.993,3.242,15.879000000000001,3.242,ham8
180.0,628.0,0.2866,596.0,0.9490000000000001,2.0,4.0,3.4889,1.0,4.0,3.4889,68.0,0.3778,112.0,0.6222,70.0,0.3889,110.0,0.6111,54.0,0.3,126.0,0.7,12.0,0.0667,11.0,0.0611,0.0,0.0,5.0,21.0,87.0909,2.0,2.0,3.0,7.0,26.0,16.9286,7.0,26.0,17.0,60.102,4.968999999999999,15.045,1.217,1.0979999999999999,1.489,1.0979999999999999,ham8
180.0,644.0,0.2795,630.0,0.9783,2.0,4.0,3.5778,2.0,4.0,3.5778,64.0,0.3556,116.0,0.6444,56.0,0.3111,124.0,0.6889,26.0,0.1444,154.0,0.8556,6.0,0.0333,10.0,0.0556,0.0,0.0,3.0,13.0,78.4286,2.0,2.0,3.0,9.0,26.0,17.5714,9.0,26.0,17.5714,67.97399999999999,53.805,111.741,127.29700000000001,5.184,138.224,5.184,ham8
180.0,638.0,0.2821,616.0,0.9655,2.0,4.0,3.5444,2.0,4.0,3.5444,58.0,0.3222,122.0,0.6778,60.0,0.3333,120.0,0.6667,34.0,0.1889,146.0,0.8111,12.0,0.0667,11.0,0.0611,0.0,0.0,1.0,4.0,88.7143,2.0,2.0,1.0,7.0,26.0,17.04,7.0,26.0,16.9231,72.833,1.933,4.905,199.993,9.902000000000001,6.811,1.933,ham2
378.0,2065.0,0.1831,2026.0,0.9811,2.0,6.0,5.462999999999999,2.0,6.0,5.462999999999999,39.0,0.1032,339.0,0.8968,39.0,0.1032,339.0,0.8968,70.0,0.1852,308.0,0.8148,3.0,0.0079,3.0,0.0079,0.0,0.0,3.0,14.0,164.7778,2.0,2.0,16.0,16.0,27.0,25.1935,16.0,27.0,24.3415,39.035,199.993,199.96900000000002,50.04,199.986,35.547,35.547,ham9
189.0,887.0,0.2131,772.0,0.8703,1.0,6.0,4.6931,2.0,6.0,4.6931,87.0,0.4603,102.0,0.5397,71.0,0.3757,118.0,0.6243,90.0,0.4762,99.0,0.5238,8.0,0.0423,7.0,0.037000000000000005,0.0,0.0,2.0,12.0,94.9286,2.0,2.0,4.0,2.0,19.0,13.8372,2.0,19.0,14.0732,86.87700000000001,199.97099999999998,199.995,12.927999999999999,199.99400000000003,199.993,12.927999999999999,ham6
168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,16.0,0.0952,152.0,0.9048,7.0,0.0417,7.0,0.0417,0.0,0.0,2.0,8.0,86.5,2.0,2.0,13.0,11.0,24.0,16.7778,11.0,24.0,16.7778,191.511,47.743,8.455,13.698,13.231,25.125999999999998,8.455,ham4
180.0,632.0,0.2848,606.0,0.9589,1.0,4.0,3.5111,2.0,4.0,3.5111,60.0,0.3333,120.0,0.6667,58.0,0.3222,122.0,0.6778,42.0,0.2333,138.0,0.7667,14.0,0.0778,15.0,0.0833,0.0,0.0,19.0,69.0,93.5556,2.0,2.0,3.0,5.0,26.0,15.2857,5.0,26.0,15.8182,44.381,30.928,0.851,8.041,17.871,7.712999999999999,0.851,ham4
168.0,602.0,0.2791,584.0,0.9701,2.0,4.0,3.5833,1.0,4.0,3.5833,48.0,0.2857,120.0,0.7143,46.0,0.2738,122.0,0.7262,32.0,0.1905,136.0,0.8095,11.0,0.0655,12.0,0.0714,0.0,0.0,3.0,13.0,95.8333,2.0,2.0,13.0,7.0,24.0,16.2222,7.0,24.0,16.2222,153.821,75.241,3.0780000000000003,49.229,1.094,22.639,1.094,ham8
378.0,2025.0,0.1867,1948.0,0.9620000000000001,2.0,6.0,5.3571,2.0,6.0,5.3571,77.0,0.2037,301.0,0.7963,75.0,0.1984,303.0,0.8016,114.0,0.3016,264.0,0.6984,3.0,0.0079,3.0,0.0079,0.0,0.0,7.0,36.0,194.3333,2.0,2.0,11.0,3.0,27.0,23.2222,3.0,27.0,23.2222,62.824,20.077,199.97799999999998,199.988,199.935,199.99400000000003,20.077,ham2
180.0,650.0,0.2769,640.0,0.9846,2.0,4.0,3.6111,2.0,4.0,3.6111,56.0,0.3111,124.0,0.6889,60.0,0.3333,120.0,0.6667,14.0,0.0778,166.0,0.9222,7.0,0.0389,5.0,0.0278,0.0,0.0,1.0,5.0,87.0,2.0,2.0,3.0,9.0,26.0,17.5556,9.0,26.0,17.3462,63.343999999999994,162.276,18.995,57.309,57.265,114.149,18.995,ham4
4704.0,15635.0,0.3009,15596.0,0.9975,2.0,4.0,3.3238,2.0,4.0,3.3238,3133.0,0.6659999999999999,1571.0,0.33399999999999996,3131.0,0.6656,1573.0,0.3344,78.0,0.0166,4626.0,0.9834,24.0,0.0051,25.0,0.0053,0.0,0.0,3.0,12.0,790.5294,2.0,2.0,21.0,2.0,1571.0,505.5394,2.0,1575.0,883.1529,131.013,199.93,70.733,45.871,69.298,47.948,45.871,ham6
180.0,646.0,0.2786,632.0,0.9783,1.0,4.0,3.5889,2.0,4.0,3.5889,58.0,0.3222,122.0,0.6778,58.0,0.3222,122.0,0.6778,20.0,0.1111,160.0,0.8889,8.0,0.0444,8.0,0.0444,0.0,0.0,2.0,8.0,95.1667,2.0,2.0,3.0,4.0,26.0,16.2692,4.0,26.0,16.2692,52.075,199.99400000000003,25.226999999999997,1.531,9.07,8.515,1.531,ham6
245.0,1283.0,0.191,1232.0,0.9602,1.0,6.0,5.2367,2.0,6.0,5.2367,45.0,0.1837,200.0,0.8163,47.0,0.1918,198.0,0.8082,80.0,0.3265,165.0,0.6735,2.0,0.0082,2.0,0.0082,0.0,0.0,2.0,13.0,109.1111,2.0,2.0,98.0,2.0,28.0,14.0652,4.0,28.0,14.1333,134.256,4.995,11.078,5.771,199.989,199.995,4.995,ham2
189.0,977.0,0.1934,946.0,0.9683,2.0,6.0,5.1693,2.0,6.0,5.1693,27.0,0.1429,162.0,0.8571,27.0,0.1429,162.0,0.8571,46.0,0.2434,143.0,0.7566,3.0,0.0159,4.0,0.0212,0.0,0.0,5.0,22.0,91.375,2.0,2.0,18.0,3.0,19.0,15.1852,3.0,19.0,15.0571,45.104,199.993,6.77,0.099,10.452,0.9279999999999999,0.099,ham6
192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,1.0,5.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941,125.93700000000001,91.859,20.081,2.501,17.252,125.348,2.501,ham6
345.0,1593.0,0.2166,1344.0,0.8437,1.0,6.0,4.6174,1.0,6.0,4.6174,167.0,0.4841,178.0,0.5159,157.0,0.4551,188.0,0.5449,182.0,0.5275,163.0,0.4725,20.0,0.057999999999999996,20.0,0.057999999999999996,1.0,0.0029,4.0,20.0,168.0,2.0,2.0,5.0,2.0,38.0,20.4,2.0,38.0,19.2791,199.99,199.984,199.989,199.99,199.985,199.995,199.984,ham2
168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,1.0,4.0,3.5714,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,36.0,0.2143,132.0,0.7857,9.0,0.0536,10.0,0.0595,0.0,0.0,2.0,8.0,82.1429,20.0,3.0,13.0,7.0,24.0,16.0,7.0,24.0,16.1053,184.924,199.99599999999998,34.749,70.90100000000001,20.115,199.995,20.115,ham8
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,52.0,0.3095,116.0,0.6905,56.0,0.3333,112.0,0.6667,30.0,0.1786,138.0,0.8214,8.0,0.0476,6.0,0.0357,0.0,0.0,7.0,28.0,78.125,2.0,2.0,16.0,8.0,24.0,16.375,8.0,24.0,16.375,185.108,72.48,5.928999999999999,124.609,66.742,78.61,5.928999999999999,ham4
168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,2.0,4.0,3.5952,54.0,0.3214,114.0,0.6786,54.0,0.3214,114.0,0.6786,30.0,0.1786,138.0,0.8214,7.0,0.0417,7.0,0.0417,0.0,0.0,3.0,12.0,87.6667,2.0,2.0,14.0,9.0,24.0,16.4118,9.0,24.0,16.5294,199.933,42.159,22.816,63.393,5.672000000000001,73.708,5.672000000000001,ham8
