,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name,DT_ham10_pred,RF_ham10_pred,kNN_ham10_pred,DT_ham2_pred,RF_ham2_pred,kNN_ham2_pred,DT_ham4_pred,RF_ham4_pred,kNN_ham4_pred,DT_ham6_pred,RF_ham6_pred,kNN_ham6_pred,DT_ham8_pred,RF_ham8_pred,kNN_ham8_pred,DT_ham9_pred,RF_ham9_pred,kNN_ham9_pred
0,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,96.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,199.989,39.146,32.872,78.694,13.955,6.061,6.061,ham9,109.8988783783784,117.88136390887931,115.11490909090911,92.0560555555555,80.98046527219229,65.80025,39.62383529411765,33.24059794455788,28.07535714285714,54.93195652173913,42.49646752990641,38.5715,47.608082352941175,47.99171959639125,22.31092,62.60126315789473,65.46951941999569,64.25886206896551
1,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,55.0,0.3125,121.0,0.6875,53.0,0.3011,123.0,0.6989,18.0,0.1023,158.0,0.8977,6.0,0.0341,7.0,0.0398,0.0,0.0,1.0,5.0,96.8,2.0,2.0,17.0,9.0,24.0,16.619,9.0,24.0,16.619,199.99400000000003,199.99400000000003,3.35,52.318000000000005,6.941,137.155,3.35,ham4,109.8988783783784,134.5866128464113,105.57427272727274,92.0560555555555,80.98046527219229,120.13125,39.62383529411765,33.74881591725582,47.883428571428574,54.93195652173913,42.49646752990641,76.971875,47.608082352941175,47.99171959639125,77.14507999999998,62.60126315789473,67.79444518922648,71.77979310344827
2,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,1.0,5.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,93.557,37.675,3.148,5.856,6.348,199.995,3.148,ham4,109.8988783783784,113.90174882951423,108.81909090909093,92.0560555555555,80.98046527219229,56.616625,39.62383529411765,25.957615649871894,15.96896428571429,54.93195652173913,42.49646752990641,61.459374999999994,47.608082352941175,47.99171959639125,21.098760000000002,62.60126315789473,65.46951941999569,69.43879310344828
3,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,5.0,21.0,78.8,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,89.05799999999999,199.99400000000003,1.2329999999999999,16.879,5.059,58.525,1.2329999999999999,ham4,109.8988783783784,113.54693451307796,117.96418181818181,92.0560555555555,80.98046527219229,81.21187499999999,39.62383529411765,24.607643163099404,22.130678571428575,54.93195652173913,42.49646752990641,56.269124999999995,47.608082352941175,47.99171959639125,31.760119999999997,62.60126315789473,65.46951941999569,72.07844827586207
4,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,1.0,5.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,107.992,4.2139999999999995,1.406,17.433,5.926,1.641,1.406,ham4,109.8988783783784,112.33760438506977,108.81909090909093,92.0560555555555,80.98046527219229,65.800375,39.62383529411765,25.957615649871894,22.818821428571432,54.93195652173913,42.49646752990641,38.675625,47.608082352941175,47.99171959639125,21.577,62.60126315789473,65.46951941999569,70.57565517241379
5,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,199.989,195.308,7.619,7.284,25.045,114.473,7.284,ham6,109.8988783783784,112.33760438506977,113.5079090909091,92.0560555555555,80.98046527219229,65.80025,39.62383529411765,25.957615649871894,15.96896428571429,54.93195652173913,42.49646752990641,38.5715,47.608082352941175,47.99171959639125,22.31092,62.60126315789473,65.46951941999569,70.57565517241379
6,192.0,700.0,0.2743,688.0,0.9829,2.0,4.0,3.6458,1.0,4.0,3.6458,54.0,0.2813,138.0,0.7188,60.0,0.3125,132.0,0.6875,24.0,0.125,168.0,0.875,7.0,0.0365,4.0,0.0208,0.0,0.0,3.0,12.0,95.4286,2.0,2.0,16.0,11.0,26.0,18.1667,11.0,26.0,18.1667,97.865,199.993,12.802,199.989,199.99400000000003,199.993,12.802,ham4,174.4042580645161,162.3335264141911,149.8011818181818,92.0560555555555,100.3593181306893,101.02625,39.62383529411765,48.68883177962448,40.133035714285704,91.99770386266088,108.24665890243728,146.66425,47.608082352941175,47.99171959639125,43.3728,97.28607031249997,85.57052852655278,126.06941379310346
7,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,2.0,9.0,77.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,95.40100000000001,25.539,12.061,61.418,2.149,11.763,2.149,ham8,109.8988783783784,108.61551549618089,112.76581818181818,92.0560555555555,80.98046527219229,81.21187499999999,39.62383529411765,24.607643163099404,17.870857142857147,54.93195652173913,42.49646752990641,56.269124999999995,47.608082352941175,47.99171959639125,28.952639999999995,62.60126315789473,65.46951941999569,69.65193103448274
8,192.0,698.0,0.2751,686.0,0.9828,2.0,4.0,3.6354,2.0,4.0,3.6354,60.0,0.3125,132.0,0.6875,60.0,0.3125,132.0,0.6875,22.0,0.1146,170.0,0.8854,5.0,0.026000000000000002,5.0,0.026000000000000002,0.0,0.0,2.0,9.0,105.875,2.0,2.0,17.0,11.0,26.0,17.6316,11.0,26.0,17.6316,178.357,35.217,37.229,87.068,42.62,199.995,35.217,ham2,174.4042580645161,176.18013130308003,151.60927272727272,92.0560555555555,100.3593181306893,101.02699999999999,39.62383529411765,49.45364876592585,44.19899999999999,91.99770386266088,108.24665890243728,146.664625,47.608082352941175,47.99171959639125,43.37279999999999,97.28607031249997,85.57052852655278,126.06941379310345
9,192.0,698.0,0.2751,686.0,0.9828,2.0,4.0,3.6354,2.0,4.0,3.6354,56.0,0.2917,136.0,0.7083,56.0,0.2917,136.0,0.7083,22.0,0.1146,170.0,0.8854,7.0,0.0365,7.0,0.0365,0.0,0.0,1.0,5.0,82.0,2.0,2.0,17.0,3.0,26.0,16.8182,3.0,26.0,16.8182,142.714,199.99,8.759,199.989,3.2889999999999997,199.99599999999998,3.2889999999999997,ham8,174.4042580645161,171.95536241419114,158.20972727272726,92.0560555555555,100.3593181306893,133.09662500000002,39.62383529411765,28.389356417600887,40.1330357142857,91.99770386266088,113.69117542090157,137.62675,47.608082352941175,47.99171959639125,43.24139999999999,97.28607031249997,85.57052852655278,124.16137931034483
